"V1","V2","V3","V4"
47,45,0.000944505380491078,2
46,52,0.00219400797596166,3
18,44,0.0030366124046581,2
48,51,0.00356795529047223,2
50,53,0.00370557087440978,4
39,55,0.00415630173318502,3
57,56,0.00419833574378405,7
36,33,0.00452959790244325,2
59,35,0.00533580996032241,3
37,32,0.00605199567078212,2
9,8,0.00669962401865306,2
22,28,0.00793193844296217,2
38,58,0.00834829173370806,8
2,42,0.00984637290070907,2
60,61,0.0111223065426471,5
43,66,0.0113638286383791,6
3,4,0.0126207614389303,2
5,67,0.0130275566984941,7
63,27,0.013534783717149,3
21,19,0.0136014401791604,2
62,13,0.0139085967882422,3
26,65,0.0141408372431337,3
72,12,0.0141989116829982,4
41,64,0.0143450199088963,9
34,10,0.0146799845069349,2
40,49,0.0148980935257063,2
69,76,0.0154992777922625,9
7,74,0.0174159762023348,5
77,75,0.0210061830499583,11
29,73,0.0229705140323813,4
78,68,0.0246858471976064,11
14,11,0.0246859545496208,2
81,23,0.0284157590726452,5
80,82,0.0290391175433544,22
24,25,0.0353996250151516,2
70,86,0.0355657896070731,5
85,79,0.0356990522934331,27
6,71,0.0378408906065761,3
88,89,0.0379395634202499,30
83,84,0.04099553287888,7
15,17,0.0457087944408021,2
91,54,0.0515413098607892,9
90,93,0.0696541760359371,39
94,87,0.070228438586798,44
95,31,0.0920281184400165,45
20,92,0.0934955235597406,3
96,97,0.131589849803055,48
16,30,0.170562894222763,2
98,99,0.229802239599491,50
1,100,1.01944603263637,51
